,From,To,Operator,Distance,Departure,Arrival,Has A/C?,Sleeper Category,Is Seater?,Is Multi-Axle?,Has Video?,Pushback Seats,Seat Format,Bus Brand,Duration
117,Hosur,Viruthunagar,Kallada Travels,370,09:10:00 PM,06:25:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 09:15:00
118,Hosur,Allappuzha,Kallada Travels,347,07:45:00 PM,04:26:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:41:00
119,Hosur,Allappuzha,Kallada Travels,324,06:00:00 PM,02:06:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:06:00
120,Hosur,Allappuzha,Kallada Travels,486,07:15:00 PM,07:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
121,Hosur,Allappuzha,Kallada Travels,486,02:45:00 PM,02:54:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
122,Hosur,Allappuzha,Kallada Travels,486,10:00:00 PM,10:09:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
123,Hosur,Koratty,Kallada Travels,486,09:15:00 PM,09:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
124,Hosur,Chalakkudi,Bharathi Travels,290,09:45:00 PM,05:00:00 AM,True,Semi-Sleeper,False,True,True,False,2+2,mercedes,0 days 07:15:00
125,Hosur,Chalakkudi,Srs Travels (SRS Travels),370,06:45:00 PM,04:00:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,,0 days 09:15:00
126,Hosur,Karunagapilly,Kallada Travels,509,02:45:00 PM,03:29:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:44:00
127,Hosur,Karunagapilly,Kallada Travels,356,07:45:00 PM,04:39:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:54:00
128,Hosur,Karunagapilly,Kallada Travels,509,07:15:00 PM,07:59:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:44:00
129,Hosur,Karunagapilly,Kallada Travels,338,06:00:00 PM,02:27:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:27:00
130,Hosur,Pathanamthitta,Kallada Travels,333,07:50:00 PM,04:10:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:20:00
131,Hosur,Pathanamthitta,Kallada Travels,486,09:15:00 PM,09:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
132,Hosur,Kadayanallur,Srs Travels (SRS Travels),320,10:15:00 PM,06:15:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 08:00:00
133,Hosur,Gobichettipalayam,Kings Travels,190,11:30:00 PM,04:15:00 AM,False,Sleeper,True,False,False,False,2+1,,0 days 04:45:00
134,Hosur,Chengannur,Kallada Travels,486,07:30:00 PM,07:39:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
135,Hosur,Chengannur,Srs Travels (SRS Travels),460,06:45:00 PM,06:15:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,,0 days 11:30:00
136,Hosur,Kollam,Kallada Travels,338,06:00:00 PM,02:27:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:27:00
137,Hosur,Kollam,Kallada Travels,509,07:15:00 PM,07:59:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:44:00
138,Hosur,Kollam,Kallada Travels,509,02:45:00 PM,03:29:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:44:00
139,Hosur,Kollam,Kallada Travels,356,07:45:00 PM,04:39:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:54:00
140,Hosur,Kollam,KPN Travels,450,07:15:00 PM,06:30:00 AM,True,Other,False,True,False,False,2+2,volvo,0 days 11:15:00
141,Hosur,Tirupur,KPN Travels,230,11:45:00 PM,05:30:00 AM,False,Other,False,False,False,False,2+1,,0 days 05:45:00
142,Hosur,Tirupur,Srs Travels (SRS Travels),240,11:45:00 PM,05:45:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 06:00:00
143,Hosur,Tirupur,KPN Travels,220,04:00:00 PM,09:30:00 PM,True,Other,False,True,False,False,2+2,volvo,0 days 05:30:00
144,Hosur,Tirupur,KPN Travels,260,11:30:00 PM,06:00:00 AM,True,Sleeper,False,False,False,False,,,0 days 06:30:00
145,Hosur,Tirupur,Sachin Travels,240,12:00:00 AM,06:00:00 AM,False,Semi-Sleeper,False,False,True,False,2+1,,0 days 06:00:00
146,Hosur,Tirupur,Kallada Travels,185,09:45:00 AM,02:23:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 04:38:00
147,Hosur,Tirupur,Kallada Travels,218,02:45:00 PM,08:12:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 05:27:00
148,Hosur,Chavadi,Kallada Travels,463,07:30:00 PM,07:05:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 11:35:00
149,Hosur,Chavadi,Kallada Travels,463,10:00:00 PM,09:35:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 11:35:00
150,Hosur,Chavadi,Kallada Travels,273,09:40:00 PM,04:30:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 06:50:00
151,Hosur,Chavadi,Kallada Travels,370,02:45:00 PM,12:00:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 09:15:00
152,Hosur,Chavadi,Kallada Travels,417,11:15:00 PM,09:41:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 10:26:00
